Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
380.0	0.5098004	53.06525	0.6646226	43.57666
381.0	0.5109295	53.19174	0.6664347	43.66177
382.0	0.5120802	53.31832	0.6682842	43.74683
383.0	0.5132511	53.44497	0.6701829	43.83184
384.0	0.5144404	53.57171	0.6721417	43.91683
385.0	0.515646	53.69853	0.6741698	44.00179
386.0	0.5168652	53.82545	0.6762748	44.08677
387.0	0.5180951	53.95246	0.6784616	44.17176
388.0	0.5193325	54.07956	0.6807326	44.2568
389.0	0.5205737	54.20676	0.6830875	44.34191
390.0	0.5218149	54.33405	0.6855228	44.42711
391.0	0.5230519	54.46144	0.6880318	44.51242
392.0	0.5242805	54.58892	0.6906053	44.59786
393.0	0.5254961	54.71648	0.6932309	44.68345
394.0	0.5266941	54.84413	0.6958939	44.7692
395.0	0.52787	54.97185	0.6985775	44.85512
396.0	0.5290192	55.09964	0.7012631	44.94123
397.0	0.5301372	55.2275	0.7039309	45.02752
398.0	0.5312194	55.35542	0.7065605	45.11399
399.0	0.5322617	55.48338	0.7091313	45.20062
400.0	0.5332601	55.61138	0.7116233	45.28742
401.0	0.5342109	55.7394	0.7140175	45.37437
402.0	0.5351108	55.86744	0.7162963	45.46143
403.0	0.5359568	55.99549	0.7184443	45.5486
404.0	0.5367465	56.12354	0.7204488	45.63583
405.0	0.5374778	56.25156	0.7222998	45.72311
406.0	0.5381493	56.37956	0.7239904	45.81041
407.0	0.5387601	56.50751	0.7255175	45.89768
408.0	0.53931	56.63541	0.7268814	45.98491
409.0	0.5397994	56.76325	0.728086	46.07205
410.0	0.5402292	56.89101	0.7291388	46.15908
411.0	0.540601	57.01869	0.7300508	46.24596
412.0	0.5409173	57.14627	0.7308363	46.33268
413.0	0.541181	57.27374	0.7315122	46.41921
414.0	0.5413956	57.4011	0.7320979	46.50554
415.0	0.5415654	57.52834	0.7326149	46.59164
416.0	0.5416951	57.65545	0.7330859	46.67751
417.0	0.54179	57.78243	0.7335343	46.76316
418.0	0.5418558	57.90928	0.7339836	46.84857
419.0	0.5418985	58.03598	0.7344566	46.93376
420.0	0.5419245	58.16255	0.734975	47.01874
421.0	0.5419404	58.28898	0.7355584	47.10352
422.0	0.5419528	58.41527	0.7362239	47.18814
423.0	0.5419683	58.54143	0.7369857	47.2726
424.0	0.5419935	58.66747	0.7378544	47.35695
425.0	0.5420346	58.79339	0.7388368	47.4412
426.0	0.5420974	58.9192	0.7399359	47.5254
427.0	0.5421875	59.04492	0.7411506	47.60956
428.0	0.5423097	59.17055	0.7424759	47.69372
429.0	0.542468	59.2961	0.7439034	47.7779
430.0	0.5426659	59.4216	0.7454212	47.86212
431.0	0.5429059	59.54704	0.7470147	47.94642
432.0	0.5431895	59.67246	0.7486672	48.03078
433.0	0.5435175	59.79786	0.7503606	48.11524
434.0	0.5438895	59.92326	0.7520759	48.19978
435.0	0.5443041	60.04867	0.7537944	48.28442
436.0	0.5447591	60.1741	0.7554979	48.36914
437.0	0.5452513	60.29958	0.7571702	48.45392
438.0	0.5457767	60.42509	0.758797	48.53877
439.0	0.5463306	60.55067	0.7603672	48.62365
440.0	0.5469077	60.67631	0.7618728	48.70854
441.0	0.547502	60.80201	0.7633098	48.79343
442.0	0.5481073	60.92779	0.7646782	48.87829
443.0	0.5487175	61.05364	0.7659822	48.96309
444.0	0.549326	61.17956	0.7672299	49.04781
445.0	0.5499267	61.30555	0.7684335	49.13244
446.0	0.5505138	61.4316	0.7696083	49.21696
447.0	0.551082	61.55771	0.7707729	49.30135
448.0	0.5516268	61.68386	0.7719478	49.38561
449.0	0.5521445	61.81004	0.7731551	49.46973
450.0	0.5526324	61.93624	0.7744174	49.55373
451.0	0.5530889	62.06246	0.7757568	49.63762
452.0	0.5535139	62.18866	0.7771939	49.72141
453.0	0.5539082	62.31484	0.7787471	49.80512
454.0	0.5542742	62.44099	0.7804313	49.88878
455.0	0.5546156	62.56709	0.7822575	49.97243
456.0	0.5549375	62.69312	0.7842318	50.05609
457.0	0.5552462	62.81908	0.7863553	50.13981
458.0	0.5555491	62.94495	0.7886234	50.22361
459.0	0.5558547	63.07073	0.7910263	50.30753
460.0	0.5561725	63.19642	0.7935486	50.3916
461.0	0.5565123	63.322	0.7961703	50.47585
462.0	0.5568846	63.44748	0.7988673	50.56029
463.0	0.5572999	63.57287	0.8016121	50.64494
464.0	0.5577687	63.69817	0.804375	50.7298
465.0	0.558301	63.82339	0.8071253	50.81488
