freq(GHz)	real_ε	real_ε_SG_filtered	real_ε_SG_filtered+RA	loss_T	loss_T_SG_filtered	loss_T_SG_filtered+RA
89.05	2.795191211	2.7971356229405053	2.7971557300479164	0.006629368	0.006300923274796013	0.00630710614000946
89.1	2.795768481	2.7971184944492093	2.79713746612513	0.006201038	0.006286663853508517	0.006293101396534377
89.15	2.796851948	2.797103999078766	2.797121764487136	0.005787651	0.00627225285089365	0.00627891866512304
89.2	2.798317568	2.797092157435605	2.7971086532911453	0.00572769	0.006257727752620051	0.006264595240362386
89.25	2.800231803	2.7970829768865784	2.797098147805371	0.006557003	0.006243123914410506	0.0062501665419610495
89.3	2.79676724	2.7970764519459106	2.797090250710134	0.007833264	0.0062284743254466274	0.0062356658708305444
89.35	2.793752908	2.7970725647741617	2.797084952510601	0.006629876	0.006213809405565218	0.0062211241962675645
89.4	2.794452902	2.7970712857810343	2.7970822320539375	0.005894833	0.00619915683775791	0.006206569975925171
89.45	2.795699907	2.7970725743230633	2.797082057142782	0.005624219	0.00618454143703613	0.00619202900983682
89.5	2.796014282	2.797076379486504	2.7970843852362255	0.005577851	0.006169985056270825	0.006177524329327871
89.55	2.797485214	2.7970826409451788	2.797089164228839	0.005430611	0.006155506529166215	0.006163076121219657
89.6	2.799837233	2.7970912898825766	2.7970963332977967	0.006160086	0.006141121650084572	0.006148701687306893
89.65	2.795765163	2.7971022499672102	2.7971058238077573	0.006959184	0.006126843190010143	0.006134415438675157
89.7	2.793423104	2.7971154383700387	2.7971175602629215	0.005896018	0.006112680947530556	0.006120228924026693
89.75	2.796143381	2.7971307668127148	2.797131461295541	0.00561917	0.006098641833328368	0.0061061508908044375
89.8	2.79634206	2.7971481426354847	2.7971474406801393	0.005630782	0.006084729986318986	0.006092187377550494
89.85	2.797031091	2.7971674698737643	2.7971654083628033	0.005675682	0.006070946919247862	0.006078341835610145
89.9	2.797723122	2.7971886503326777	2.7971852714951035	0.005590746	0.006057291691273275	0.006064615277999315
89.95	2.798126099	2.7972115846492613	2.797206935462506	0.005670527	0.006043761104813575	0.006051006452994927
90.0	2.797663676	2.797236173332487	2.7972303048975062	0.006217743	0.006030349923731386	0.006037512039786008
90.05	2.79682988	2.797262317771814	2.797255284668208	0.006065114	0.006017051109762726	0.006024126863340002
90.1	2.796593652	2.797289921205584	2.797281780833596	0.005730937	0.0060038560739762645	0.006010844125494581
90.15	2.797076433	2.7973188896412373	2.797309701557343	0.005441931	0.005990754939966277	0.005997655649180281
90.2	2.797867023	2.7973491327200364	2.797338957972653	0.005289178	0.005977736815441365	0.0059845521326134885
90.25	2.79972619	2.7973805645197323	2.7973694649913368	0.005156885	0.005964790068868305	0.005971523410271927
90.3	2.800038258	2.7974131042893675	2.7974011420510374	0.006085563	0.0059519026078647804	0.005958558717474688
90.35	2.798944862	2.7974466771112345	2.7974339137952864	0.006082774	0.005939062156104851	0.005945646955434757
90.4	2.79896	2.7974812144857775	2.797467710681837	0.005981959	0.005926256525605347	0.0059327769537321695
90.45	2.799180336	2.797516654836099	2.797502469515518	0.006368956	0.00591347388139797	0.005919937727268394
90.5	2.79720741	2.797552943929495	2.7975381339026244	0.006389869	0.005900702995758995	0.005907118724905236
90.55	2.799075209	2.7975900352143013	2.7975746546246505	0.006310663	0.005887933489363416	0.005894310067161898
90.6	2.798776404	2.797627890071089	2.7976119899299463	0.006215004	0.005875156056950385	0.0058815027705393244
90.65	2.799352241	2.797666477978049	2.7976501057426217	0.006320157	0.005862362675328525	0.00586868895625849
90.7	2.79917506	2.797705776591099	2.797688975788752	0.006896553	0.005849546791809781	0.005855862041435814
90.75	2.795982813	2.797745771739992	2.7977285816406363	0.00705225	0.005836703491434927	0.005843016910970773
90.8	2.795007747	2.797786457342328	2.797768912680521	0.006266216	0.005823829641639043	0.0058301500686846145
90.85	2.795832948	2.7978278352379884	2.797809965985806	0.005895111	0.005810924013296517	0.005817259766520859
90.9	2.796390275	2.797869914947077	2.7978517461383454	0.005635039	0.005797987377378581	0.005804346110894598
90.95	2.797300549	2.7979127133549433	2.7978942649609637	0.005569777	0.005785022576747567	0.005791411145554491
91.0	2.798014158	2.797956254328342	2.79793754118481	0.005500353	0.005772034572897404	0.0057784589105955
91.05	2.798176401	2.7980005682671516	2.797981600051576	0.005770275	0.00575903046772586	0.005765495477528354
91.1	2.797442574	2.7980456915964815	2.7980264728550344	0.005682535	0.00574601950068778	0.0057525289605703704
91.15	2.798339588	2.7980916662042383	2.7980721964266353	0.005588302	0.0057330130219274515	0.005739569504568994
91.2	2.798018181	2.798138538829556	2.798118812570249	0.005846812	0.005720024442219875	0.005726629250201657
91.25	2.798047661	2.798186360407657	2.7981663674513477	0.005652719	0.005707069160763463	0.005713722277311428
