Frequency/GHz, Amplitude rel., Phase
  2800.0,  9.934213E-4,   208.17442
  2810.0,  9.544218E-4,   208.92812
  2820.0,  9.251279E-4,   209.65023
  2830.0,  9.160200E-4,   210.37483
  2840.0,  9.010508E-4,   211.11211
  2850.0,  8.763828E-4,   211.83956
  2860.0,  8.634557E-4,   212.56147
  2870.0,  8.528456E-4,   213.30357
  2880.0,  8.276269E-4,   214.04716
  2890.0,  8.122157E-4,   214.77752
  2900.0,  8.114235E-4,   215.52805
  2910.0,  7.964362E-4,   216.29525
  2920.0,  7.716648E-4,   217.04771
  2930.0,  7.502701E-4,   217.79025
  2940.0,  7.279538E-4,   218.52493
  2950.0,  7.122053E-4,   219.25534
  2960.0,  6.897487E-4,   220.00210
  2970.0,  6.480238E-4,   220.72330
  2980.0,  6.408075E-4,   221.40334
  2990.0,  6.702491E-4,   222.15954
  3000.0,  6.491657E-4,   222.98201
  3010.0,  5.847932E-4,   223.72335
  3020.0,  5.783410E-4,   224.38330
  3030.0,  6.105163E-4,   225.12812
  3040.0,  6.003020E-4,   225.91045
  3050.0,  5.750425E-4,   226.63135
  3060.0,  5.771064E-4,   227.34015
  3070.0,  5.793834E-4,   228.08606
  3080.0,  5.686127E-4,   228.83787
  3090.0,  5.555494E-4,   229.58692
  3100.0,  5.446348E-4,   230.33572
  3110.0,  5.409287E-4,   231.09498
  3120.0,  5.315247E-4,   231.87693
  3130.0,  5.078986E-4,   232.64123
  3140.0,  4.957080E-4,   233.37241
  3150.0,  4.941673E-4,   234.13008
  3160.0,  4.701113E-4,   234.90061
  3170.0,  4.371652E-4,   235.60919
  3180.0,  4.344182E-4,   236.28902
  3190.0,  4.460032E-4,   237.03155
  3200.0,  4.386479E-4,   237.80970
  3210.0,  4.207205E-4,   238.55978
  3220.0,  4.160799E-4,   239.29154
  3230.0,  4.198755E-4,   240.05052
  3240.0,  4.159311E-4,   240.82630
  3250.0,  4.054921E-4,   241.58966
  3260.0,  3.956515E-4,   242.33981
  3270.0,  3.860270E-4,   243.08722
  3280.0,  3.734282E-4,   243.82628
  3290.0,  3.651837E-4,   244.54330
  3300.0,  3.710665E-4,   245.27500
  3310.0,  3.722646E-4,   246.05745
  3320.0,  3.548586E-4,   246.82504
  3330.0,  3.489081E-4,   247.54031
  3340.0,  3.604627E-4,   248.30042
  3350.0,  3.534593E-4,   249.09541
  3360.0,  3.398416E-4,   249.83033
  3370.0,  3.479866E-4,   250.56777
  3380.0,  3.481079E-4,   251.37023
  3390.0,  3.269861E-4,   252.15181
  3400.0,  3.113522E-4,   252.89110
  3410.0,  3.014402E-4,   253.64119
  3420.0,  2.930507E-4,   254.38130
  3430.0,  2.966526E-4,   255.13706
  3440.0,  2.955144E-4,   255.94094
  3450.0,  2.828480E-4,   256.72003
  3460.0,  2.798371E-4,   257.46910
  3470.0,  2.788194E-4,   258.25937
  3480.0,  2.624025E-4,   259.04756
  3490.0,  2.449425E-4,   259.78271
  3500.0,  2.354557E-4,   260.51063
  3510.0,  2.276467E-4,   261.24313
  3520.0,  2.263091E-4,   261.97984
  3530.0,  2.275842E-4,   262.76068
  3540.0,  2.207569E-4,   263.55686
  3550.0,  2.116114E-4,   264.31964
  3560.0,  2.073678E-4,   265.06970
  3570.0,  2.026316E-4,   265.83082
  3580.0,  1.935491E-4,   266.58625
  3590.0,  1.819378E-4,   267.32324
  3600.0,  1.701602E-4,   268.03813
  3610.0,  1.621934E-4,   268.72834
  3620.0,  1.637920E-4,   269.42671
  3630.0,  1.702417E-4,   270.20333
  3640.0,  1.651379E-4,   271.02906
  3650.0,  1.523034E-4,   271.76599
  3660.0,  1.589855E-4,   272.44282
  3670.0,  1.728735E-4,   273.24448
  3680.0,  1.668446E-4,   274.06520
  3690.0,  1.589397E-4,   274.78033
  3700.0,  1.618136E-4,   275.51816
  3710.0,  1.548148E-4,   276.28807
  3720.0,  1.494288E-4,   276.98492
  3730.0,  1.561183E-4,   277.74567
  3740.0,  1.511457E-4,   278.58396
  3750.0,  1.399671E-4,   279.35524
