Frequency/GHz, Amplitude rel., Phase
  4320.0,  4.968089E-3,   156.29548
  4330.0,  4.792917E-3,   156.64963
  4340.0,  4.686016E-3,   156.99755
  4350.0,  4.668284E-3,   157.35243
  4360.0,  4.670810E-3,   157.72674
  4370.0,  4.631150E-3,   158.11424
  4380.0,  4.525679E-3,   158.50302
  4390.0,  4.423123E-3,   158.88224
  4400.0,  4.343090E-3,   159.27582
  4410.0,  4.141899E-3,   159.67474
  4420.0,  3.909349E-3,   160.04307
  4430.0,  3.746765E-3,   160.39704
  4440.0,  3.652192E-3,   160.74526
  4450.0,  3.618142E-3,   161.11366
  4460.0,  3.498674E-3,   161.49176
  4470.0,  3.403197E-3,   161.84012
  4480.0,  3.438911E-3,   162.20256
  4490.0,  3.478524E-3,   162.61610
  4500.0,  3.289219E-3,   163.06996
  4510.0,  2.839811E-3,   163.43823
  4520.0,  2.747973E-3,   163.68985
  4530.0,  2.870608E-3,   164.06837
  4540.0,  2.700605E-3,   164.45478
  4550.0,  2.683212E-3,   164.76607
  4560.0,  2.764914E-3,   165.16169
  4570.0,  2.666590E-3,   165.56027
  4580.0,  2.623626E-3,   165.93466
  4590.0,  2.525964E-3,   166.34107
  4600.0,  2.355104E-3,   166.69187
  4610.0,  2.357340E-3,   167.02425
  4620.0,  2.352538E-3,   167.42060
  4630.0,  2.239135E-3,   167.79918
  4640.0,  2.180310E-3,   168.14672
  4650.0,  2.155380E-3,   168.51126
  4660.0,  2.118158E-3,   168.87959
  4670.0,  2.081870E-3,   169.24933
  4680.0,  2.044275E-3,   169.61823
  4690.0,  2.008476E-3,   169.99343
  4700.0,  1.944042E-3,   170.36327
  4710.0,  1.913684E-3,   170.71650
  4720.0,  1.894008E-3,   171.10024
  4730.0,  1.796219E-3,   171.46989
  4740.0,  1.760656E-3,   171.79037
  4750.0,  1.798821E-3,   172.15153
  4760.0,  1.780444E-3,   172.53478
  4770.0,  1.763318E-3,   172.90208
  4780.0,  1.750702E-3,   173.28871
  4790.0,  1.692212E-3,   173.67077
  4800.0,  1.646277E-3,   174.03140
  4810.0,  1.613536E-3,   174.39847
  4820.0,  1.572237E-3,   174.75982
  4830.0,  1.547644E-3,   175.11717
  4840.0,  1.522900E-3,   175.47988
  4850.0,  1.502675E-3,   175.83670
  4860.0,  1.496235E-3,   176.20179
  4870.0,  1.475324E-3,   176.57475
  4880.0,  1.450247E-3,   176.93858
  4890.0,  1.437594E-3,   177.30667
  4900.0,  1.408031E-3,   177.68413
  4910.0,  1.362192E-3,   178.04611
  4920.0,  1.331715E-3,   178.39507
  4930.0,  1.312132E-3,   178.74316
  4940.0,  1.306211E-3,   179.09167
  4950.0,  1.303435E-3,   179.45229
  4960.0,  1.291106E-3,   179.81336
  4970.0,  1.278807E-3,   180.17508
  4980.0,  1.255327E-3,   180.53238
  4990.0,  1.243630E-3,   180.87799
  5000.0,  1.234698E-3,   181.23291
  5010.0,  1.217541E-3,   181.57003
  5020.0,  1.243440E-3,   181.90067
  5030.0,  1.280709E-3,   182.26728
  5040.0,  1.288206E-3,   182.64177
  5050.0,  1.295098E-3,   183.00270
  5060.0,  1.318333E-3,   183.37268
  5070.0,  1.324821E-3,   183.75246
  5080.0,  1.346363E-3,   184.12214
  5090.0,  1.376197E-3,   184.54416
  5100.0,  1.276563E-3,   184.97213
  5110.0,  1.183937E-3,   185.26854
  5120.0,  1.248459E-3,   185.59359
  5130.0,  1.252744E-3,   185.99847
  5140.0,  1.225558E-3,   186.35504
  5150.0,  1.238289E-3,   186.72601
  5160.0,  1.219532E-3,   187.10220
  5170.0,  1.227401E-3,   187.46648
  5180.0,  1.226342E-3,   187.86662
  5190.0,  1.189107E-3,   188.25016
  5200.0,  1.171944E-3,   188.62426
  5210.0,  1.142917E-3,   189.00790
  5220.0,  1.116886E-3,   189.37400
  5230.0,  1.103843E-3,   189.75474
  5240.0,  1.067646E-3,   190.13322
  5250.0,  1.050956E-3,   190.49145
  5260.0,  1.047336E-3,   190.87815
  5270.0,  1.012829E-3,   191.26746
  5280.0,  9.850610E-4,   191.63150
  5290.0,  9.780784E-4,   192.00450
  5300.0,  9.685974E-4,   192.39985
  5310.0,  9.307947E-4,   192.80610
  5320.0,  8.753224E-4,   193.17230
  5330.0,  8.650162E-4,   193.51905
  5340.0,  8.621990E-4,   193.91631
  5350.0,  8.296226E-4,   194.31562
  5360.0,  8.004493E-4,   194.70835
  5370.0,  7.591099E-4,   195.11281
  5380.0,  7.071924E-4,   195.50212
  5390.0,  6.515122E-4,   195.88071
  5400.0,  5.986306E-4,   196.21479
  5410.0,  5.911913E-4,   196.54320
  5420.0,  5.846974E-4,   196.95538
  5430.0,  5.351617E-4,   197.37035
  5440.0,  4.915594E-4,   197.72232
  5450.0,  4.773192E-4,   198.09925
  5460.0,  4.478762E-4,   198.54121
  5470.0,  3.904795E-4,   198.97120
  5480.0,  3.340033E-4,   199.34974
  5490.0,  2.875645E-4,   199.70147
  5500.0,  2.516204E-4,   200.03076
  5510.0,  2.248764E-4,   200.37027
  5520.0,  2.019229E-4,   200.71688
  5530.0,  1.852946E-4,   201.12027
  5540.0,  1.539053E-4,   201.60479
  5550.0,  1.169865E-4,   202.04029
  5560.0,  8.806336E-5,   202.64686
  5570.0,  3.839439E-5,   203.90001
  5580.0,  3.715223E-5,   206.59890
  5590.0,  4.155255E-5,   207.62024
  5600.0,  4.029135E-5,   207.25598
  5610.0,  7.718761E-5,   207.53820
  5620.0,  9.580947E-5,   207.85321
  5630.0,  1.397528E-4,   208.15327
  5640.0,  1.779081E-4,   208.69680
  5650.0,  1.817590E-4,   209.16017
  5660.0,  1.952819E-4,   209.50423
  5670.0,  2.100998E-4,   209.93708
  5680.0,  1.977476E-4,   210.31858
  5690.0,  1.987793E-4,   210.54414
  5700.0,  2.298330E-4,   210.84313
  5710.0,  2.527209E-4,   211.25873
  5720.0,  2.496923E-4,   211.66327
  5730.0,  2.444459E-4,   211.97436
  5740.0,  2.543160E-4,   212.28991
  5750.0,  2.561296E-4,   212.61756
  5760.0,  2.664001E-4,   212.89458
  5770.0,  2.888682E-4,   213.22045
  5780.0,  3.045412E-4,   213.55507
  5790.0,  3.302230E-4,   213.89526
  5800.0,  3.486946E-4,   214.28004
  5810.0,  3.561099E-4,   214.63184
  5820.0,  3.772161E-4,   214.97311
  5830.0,  3.988327E-4,   215.34905
  5840.0,  4.118579E-4,   215.72470
  5850.0,  4.245740E-4,   216.09045
  5860.0,  4.387663E-4,   216.45418
  5870.0,  4.581069E-4,   216.81633
  5880.0,  4.840255E-4,   217.20569
  5890.0,  4.909218E-4,   217.62120
  5900.0,  4.834971E-4,   217.98959
  5910.0,  5.018497E-4,   218.34555
  5920.0,  5.167057E-4,   218.75620
  5930.0,  5.073291E-4,   219.15730
  5940.0,  4.945334E-4,   219.53023
  5950.0,  4.850494E-4,   219.86851
  5960.0,  5.083151E-4,   220.20510
  5970.0,  5.312039E-4,   220.62933
  5980.0,  5.064752E-4,   221.05064
  5990.0,  4.830454E-4,   221.38934
  6000.0,  4.903663E-4,   221.72518
  6010.0,  5.055884E-4,   222.10171
  6020.0,  5.074074E-4,   222.50975
  6030.0,  4.916590E-4,   222.89215
  6040.0,  4.965310E-4,   223.25348
  6050.0,  5.033312E-4,   223.67903
  6060.0,  4.734312E-4,   224.11031
  6070.0,  4.338714E-4,   224.47871
  6080.0,  4.112990E-4,   224.79540
  6090.0,  4.214001E-4,   225.12488
  6100.0,  4.261517E-4,   225.55109
  6110.0,  3.879477E-4,   225.95403
  6120.0,  3.699449E-4,   226.26127
  6130.0,  3.738290E-4,   226.64248
  6140.0,  3.494049E-4,   227.04997
  6150.0,  3.187277E-4,   227.40313
  6160.0,  2.947888E-4,   227.71610
  6170.0,  2.900101E-4,   228.02405
  6180.0,  2.790857E-4,   228.40597
  6190.0,  2.513281E-4,   228.71658
  6200.0,  2.511789E-4,   229.00816
  6210.0,  2.376567E-4,   229.38107
  6220.0,  2.208502E-4,   229.65146
  6230.0,  2.231812E-4,   229.97925
  6240.0,  2.048822E-4,   230.31281
  6250.0,  2.018614E-4,   230.57322
  6260.0,  1.968541E-4,   230.92793
  6270.0,  1.795151E-4,   231.18690
  6280.0,  1.838993E-4,   231.42373
  6290.0,  1.866542E-4,   231.69567
  6300.0,  2.039222E-4,   231.95631
  6310.0,  2.236083E-4,   232.33490
  6320.0,  2.220630E-4,   232.71707
  6330.0,  2.195523E-4,   233.02102
  6340.0,  2.362930E-4,   233.31737
  6350.0,  2.589708E-4,   233.72115
  6360.0,  2.510067E-4,   234.16143
  6370.0,  2.314149E-4,   234.47284
  6380.0,  2.393738E-4,   234.74679
  6390.0,  2.522403E-4,   235.08414
  6400.0,  2.665507E-4,   235.44093
