Time_abs/ps	 Signal 2/nA	 Ref.signal 2/nA
597.4	6.814146	12.253174
597.45	7.840476	15.366499
597.5	8.425792	16.131492
597.55	8.594145	14.303682
597.6	8.35042	9.445411
597.65	7.759098	1.492075
597.7	6.840171	-8.454505
597.75	5.624685	-17.948244
597.8	4.085039	-23.845471
597.85	2.306561	-23.90631
597.9	0.351394	-18.349112
597.95	-1.625131	-9.582223
598.0	-3.434879	-0.67017
598.05	-4.922826	6.040394
598.1	-5.943454	9.402338
598.15	-6.419973	9.473563
598.2	-6.396182	7.452593
598.25	-5.901822	5.327762
598.3	-5.074375	5.085108
598.35	-4.041296	7.826044
598.4	-2.963582	13.027425
598.45	-1.956117	18.696852
598.5	-1.181156	22.40598
598.55	-0.702036	22.573433
598.6	-0.583512	18.914865
598.65	-0.830332	11.983659
598.7	-1.431701	2.67779
598.75	-2.28895	-7.80529
598.8	-3.295943	-17.649197
598.85	-4.320511	-24.698484
598.9	-5.182635	-27.143191
598.95	-5.739323	-24.146034
599.0	-5.833514	-16.4371
599.05	-5.413843	-6.185661
599.1	-4.513142	4.144648
599.15	-3.196586	12.97037
599.2	-1.605082	19.49415
599.25	0.069312	22.734799
599.3	1.685451	21.230357
599.35	3.121856	14.110378
599.4	4.291708	2.110371
599.45	5.122231	-12.213969
599.5	5.61426	-25.091669
599.55	5.730883	-32.763671
599.6	5.484067	-32.986922
599.65	4.903624	-26.09229
599.7	4.043909	-14.7643
599.75	3.047484	-2.671912
599.8	2.045849	7.051538
599.85	1.171271	12.785524
599.9	0.485396	14.719124
599.95	0.001822	14.545485
600.0	-0.327613	14.416921
600.05	-0.538192	15.352327
600.1	-0.717955	16.882138
600.15	-0.896088	17.518845
600.2	-1.0784	15.913723
600.25	-1.315895	11.890316
600.3	-1.602602	6.347917
600.35	-1.940193	0.426555
600.4	-2.298792	-5.149903
600.45	-2.675818	-9.953628
600.5	-2.966158	-13.352875
600.55	-3.156206	-14.660554
600.6	-3.229574	-13.751899
600.65	-3.178928	-11.319009
600.7	-3.006909	-8.399664
600.75	-2.688503	-5.883293
600.8	-2.229955	-4.003486
600.85	-1.633755	-1.893224
600.9	-0.942193	1.711694
600.95	-0.203949	7.074027
